clinical feature_0	clinical feature_0	Similarity( clinical feature - clinical feature )	clinical feature_1	description_1	Similarity( clinical feature - description )
ADJUVANT_CHEMO	ADJUVANT_CHEMO	1.0	ADJUVANT_CHEMO	Adjuvant Chemotherapy	0.73
ADJUVANT_CHEMO	ADJUVANT_TX	0.71	ADJUVANT_CHEMO	Adjuvant treatment.	0.66
ADJUVANT_CHEMO	AGE	-0.04	ADJUVANT_CHEMO	Age at which a condition or disease was first diagnosed.	-0.03
ADJUVANT_CHEMO	CANCER_TYPE	0.19	ADJUVANT_CHEMO	Cancer Type	0.2
ADJUVANT_CHEMO	CANCER_TYPE_DETAILED	0.17	ADJUVANT_CHEMO	Cancer Type Detailed	0.18
ADJUVANT_CHEMO	ER_STATUS_BY_IHC	-0.02	ADJUVANT_CHEMO	breast carcinoma progesterone receptor status	0.1
ADJUVANT_CHEMO	FOLLOWUP_YEARS	0.09	ADJUVANT_CHEMO	Followup in years	0.08
ADJUVANT_CHEMO	FUSION_STATUS	-0.01	ADJUVANT_CHEMO	Yes/No indicator of fusion status	0.02
ADJUVANT_CHEMO	GENOMIC_ALTERATIONS	0.09	ADJUVANT_CHEMO	Number of genomic alterations	0.02
ADJUVANT_CHEMO	IHC_HER2	0.04	ADJUVANT_CHEMO	IHC-HER2	0.08
ADJUVANT_CHEMO	LOCAL_REGIONAL_RECURRENCE	0.04	ADJUVANT_CHEMO	Local Regional Recurrence	0.03
ADJUVANT_CHEMO	METASTATIC_SITE	0.13	ADJUVANT_CHEMO	The anatomic location to which the cancer has spread.	0.11
ADJUVANT_CHEMO	METASTATIC_TUMOR_INDICATOR	0.22	ADJUVANT_CHEMO	Distant metastasis present ind2	0.13
ADJUVANT_CHEMO	MUTATION_COUNT	-0.02	ADJUVANT_CHEMO	Mutation Count	-0.01
ADJUVANT_CHEMO	MYB_MYBL1_FUSION	-0.08	ADJUVANT_CHEMO	Description of MYB or MYBL1 fusions identified.	-0.02
ADJUVANT_CHEMO	MYB_NFIB_CNA	-0.08	ADJUVANT_CHEMO	MYB-NFIB Fusion Gene Copy Number Alterations	-0.09
ADJUVANT_CHEMO	MYB_NFIB_FISH	-0.08	ADJUVANT_CHEMO	MYB-NFIB FISH.	-0.05
ADJUVANT_CHEMO	MYB_NFIB_NONSYNONYMOUS_COUNT	-0.14	ADJUVANT_CHEMO	Count of non-synonymous mutations in MYB-NFIB Fusion Gene	-0.11
ADJUVANT_CHEMO	MYB_NFIB_REARRANGEMENT	-0.04	ADJUVANT_CHEMO	MYB-NFIB Rearrangement Description	-0.03
ADJUVANT_CHEMO	NEOADJUVANT_CHEMO	0.96	ADJUVANT_CHEMO	Neoadjuvant Chemotherapy.	0.68
ADJUVANT_CHEMO	ONCOTREE_CODE	-0.0	ADJUVANT_CHEMO	Oncotree Code	0.08
ADJUVANT_CHEMO	OVERALL_PATIENT_HISTOLOGY	0.08	ADJUVANT_CHEMO	Overall Patient Histology	0.09
ADJUVANT_CHEMO	PLATFORM	0.11	ADJUVANT_CHEMO	Platform.	0.12
ADJUVANT_CHEMO	PRIMARY_SITE	-0.03	ADJUVANT_CHEMO	Text term to describe the organ sub-division in an individual with cancer.	0.1
ADJUVANT_CHEMO	PR_STATUS_BY_IHC	0.02	ADJUVANT_CHEMO	Breast carcinoma progesterone receptor status	0.1
ADJUVANT_CHEMO	RADIATION_THERAPY	0.09	ADJUVANT_CHEMO	Radiation Therapy.	0.04
ADJUVANT_CHEMO	SAMPLE_COUNT	0.02	ADJUVANT_CHEMO	Number of Samples Per Patient	0.03
ADJUVANT_CHEMO	SAMPLE_TYPE	0.07	ADJUVANT_CHEMO	The type of sample (i.e., normal, primary, met, recurrence).	0.06
ADJUVANT_CHEMO	SEX	-0.07	ADJUVANT_CHEMO	Sex	-0.07
ADJUVANT_CHEMO	SOMATIC_STATUS	0.02	ADJUVANT_CHEMO	Somatic Status	0.05
ADJUVANT_CHEMO	STUDY	0.02	ADJUVANT_CHEMO	Study.	0.01
ADJUVANT_CHEMO	TIME_TO_MET_MONTHS	-0.06	ADJUVANT_CHEMO	Time to metastasis (months).	0.15
ADJUVANT_CHEMO	TMB_NONSYNONYMOUS	-0.04	ADJUVANT_CHEMO	TMB (nonsynonymous)	0.05
ADJUVANT_CHEMO	TUMOR_SIZE	0.08	ADJUVANT_CHEMO	Tumor size.	0.11
ADJUVANT_CHEMO	TUMOR_STAGE	0.11	ADJUVANT_CHEMO	Tumor stage.	0.11
ADJUVANT_CHEMO	TYPE_OF_SURGERY	0.09	ADJUVANT_CHEMO	Type of Surgery.	0.08
ADJUVANT_CHEMO	VITAL_STATUS	0.05	ADJUVANT_CHEMO	The survival state of the person.	0.12
ADJUVANT_CHEMO	ETHNICITY	-0.01	ADJUVANT_CHEMO	The text for reporting information about ethnicity.	0.01
ADJUVANT_CHEMO	HISTOLOGICAL_DIAGNOSIS	0.07	ADJUVANT_CHEMO	Text term for the structural pattern of cancer cells used to define a microscopic diagnosis.	0.08
ADJUVANT_CHEMO	MEAN_COVERAGE	0.04	ADJUVANT_CHEMO	Mean Coverage (x)	0.1
ADJUVANT_CHEMO	NUM_SOMATIC_MUTATION	-0.0	ADJUVANT_CHEMO	Total Number of Somatic Mutations	0.01
ADJUVANT_CHEMO	SURGERY	0.02	ADJUVANT_CHEMO	Surgery.	0.03
